"","Game","Genre","Year","Month","Earnings","Players","Tournaments","Rank","Hours_watched","Hours_Streamed","Peak_viewers","Peak_channels","Streamers","Avg_viewers","Avg_channels","Avg_viewer_ratio"
"1","Age of Empires","Strategy",2016,1,5148,23,4,142,248884,232,107455,18,40,334,0,1072.78
"2","Age of Empires II","Strategy",2016,2,3535,16,3,167,129101,3169,1980,14,215,185,4,40.74
"3","Age of Empires II","Strategy",2016,3,620,6,2,193,98903,2928,967,13,204,133,3,33.78
"4","Age of Empires II","Strategy",2016,4,7555.11,38,5,184,116800,2923,1412,13,208,162,4,39.96
"5","Age of Empires II","Strategy",2016,5,630,9,3,199,93519,3204,750,13,250,125,4,29.19
"6","Age of Empires II","Strategy",2016,6,1075,5,2,178,107624,2896,7631,14,236,149,4,37.16
"7","Age of Empires II","Strategy",2016,8,100,2,1,192,117560,3446,1284,14,224,158,4,34.11
"8","Age of Empires II","Strategy",2016,9,200,2,1,133,158921,3356,4629,15,237,221,4,47.35
"9","Age of Empires II","Strategy",2016,10,30861,79,4,163,166279,3883,2369,17,274,223,5,42.82
"10","Age of Empires II","Strategy",2016,11,1660.56,7,2,132,201024,4477,2414,18,254,279,6,44.9
"11","Age of Empires II","Strategy",2016,12,5004.47,28,9,116,331306,4653,9127,16,109,445,6,71.2
"12","Age of Empires II","Strategy",2017,1,25025,54,6,144,310965,5299,4129,16,344,418,7,58.68
"13","Age of Empires II","Strategy",2017,2,10940,39,8,116,287503,4869,4210,18,283,428,7,59.05
"14","Age of Empires II","Strategy",2017,3,2298,14,5,99,333600,5720,4339,21,341,448,7,58.32
"15","Age of Empires II","Strategy",2017,4,4805,24,3,127,258412,5689,4203,20,302,359,7,45.42
"16","Age of Empires II","Strategy",2017,5,800,4,2,126,270873,5670,1864,21,358,364,7,47.77
"17","Age of Empires II","Strategy",2017,6,4556.92,16,4,117,299260,5948,2124,21,398,416,8,50.31
"18","Age of Empires II","Strategy",2017,7,737,14,4,141,321483,7273,5272,21,433,432,9,44.2
"19","Age of Empires II","Strategy",2017,8,5800,4,1,132,311900,6330,3502,20,399,419,8,49.27
"20","Age of Empires II","Strategy",2017,9,2602.48,7,4,105,403765,6786,4543,22,402,561,9,59.5
"21","Age of Empires II","Strategy",2017,10,4605.42,70,7,94,507367,6845,2823,22,413,682,9,74.12
"22","Age of Empires II","Strategy",2017,11,32071.43,58,5,97,518228,6427,5401,20,470,720,8,80.63
"23","Age of Empires II","Strategy",2017,12,4614.18,15,5,88,662113,7668,6615,24,536,891,10,86.35
"24","Age of Empires II","Strategy",2018,1,1715,15,6,79,741622,14365,13527,46,1795,998,19,51.63
"25","Age of Empires II","Strategy",2018,2,1097,11,5,76,676502,13701,9239,52,1825,1008,20,49.38
"26","Age of Empires II","Strategy",2018,3,2529.21,26,9,82,737687,13770,8032,47,1705,992,18,53.57
"27","Age of Empires II","Strategy",2018,4,9048.44,47,13,76,821016,13519,37601,43,1654,1141,18,60.73
"28","Age of Empires II","Strategy",2018,5,2070,20,12,91,674338,12606,9564,42,1701,907,16,53.49
"29","Age of Empires II","Strategy",2018,6,3373.36,29,9,105,628752,11987,6934,37,1627,874,16,52.45
"30","Age of Empires II","Strategy",2018,7,6406.7,16,7,73,1089933,13959,45645,43,1927,1466,18,78.08
"31","Age of Empires II","Strategy",2018,8,8038,32,7,95,750558,13004,18771,39,1601,1010,17,57.72
"32","Age of Empires II","Strategy",2018,9,6094.38,28,9,81,757110,13125,7258,39,1483,1053,18,57.68
"33","Age of Empires II","Strategy",2018,10,7276.64,37,7,108,640962,12396,11353,39,1496,862,16,51.71
"34","Age of Empires II","Strategy",2018,11,16818,39,6,102,741924,13159,13929,52,1761,1031,18,56.38
"35","Age of Empires II","Strategy",2018,12,6407.6,40,9,92,807815,15379,7013,53,2199,1087,20,52.53
"36","Age of Empires II","Strategy",2019,1,6815.85,20,11,101,833617,17252,7888,54,2280,1121,23,48.32
"37","Age of Empires II","Strategy",2019,2,35700,36,5,81,973404,13935,12274,50,1849,1450,20,69.85
"38","Age of Empires II","Strategy",2019,3,8799.01,38,12,97,742377,16021,8566,52,1976,999,21,46.34
"39","Age of Empires II","Strategy",2019,4,17306.04,31,14,87,902392,14734,18811,47,1863,1255,20,61.25
"40","Age of Empires II","Strategy",2019,5,12416.86,49,21,109,667714,14408,6297,45,1746,898,19,46.34
"41","Age of Empires II","Strategy",2019,6,8909.38,38,12,122,561958,14779,7866,46,1952,781,20,38.02
"42","Age of Empires II","Strategy",2019,7,5633.95,31,10,121,508297,13738,6568,44,1768,684,18,37
"43","Age of Empires II","Strategy",2019,8,16009.43,50,11,104,582184,12632,5719,44,1582,783,17,46.09
"44","Age of Empires II","Strategy",2019,9,11555,29,10,106,582784,12240,11904,42,1416,810,17,47.61
"45","Age of Empires II","Strategy",2019,10,5459.99,67,14,121,550469,11512,13413,45,1388,740,15,47.82
"46","Age of Empires II","Strategy",2019,11,3966.39,33,13,156,342558,7552,13776,39,1378,476,10,45.36
"47","Age of Empires II","Strategy",2020,9,4476.51,45,16,164,688251,11617,13958,96,1428,957,16,59.25
"48","Age of Empires II","Strategy",2020,10,75045.99,213,19,68,2641651,38670,65918,114,2950,3555,52,68.31
"49","Age of Empires II","Strategy",2020,11,16333,69,20,63,2768163,45414,17803,131,4081,3850,63,60.95
"50","Age of Empires II","Strategy",2020,12,47875.14,127,37,70,2721869,48943,33090,142,4223,3663,65,55.61
"51","Age of Empires II","Strategy",2021,1,49285.49,122,40,56,3632218,57995,27875,154,5072,4888,78,62.63
"52","Age of Empires II","Strategy",2021,2,17951.47,100,29,67,2891396,50758,31400,157,4373,4309,75,56.96
"53","Age of Empires II","Strategy",2021,3,109335.99,149,39,54,4615389,49965,71248,154,4074,6211,67,92.37
"54","Age of Empires II","Strategy",2021,4,30356.44,122,44,66,3618472,56230,52743,171,4924,5032,78,64.35
"55","Age of Empires II","Strategy",2021,5,55279.5,181,60,65,3506906,55620,22945,150,4451,4719,74,63.05
"56","Age of Empires II","Strategy",2021,6,41352.83,99,29,63,3543852,47864,28661,144,3909,4928,66,74.04
"57","Age of Empires II","Strategy",2021,7,50409,103,28,70,2837032,46231,20387,114,3804,3818,62,61.37
"58","Age of Empires II","Strategy",2021,8,34202.84,152,30,90,2653409,48384,16282,136,4023,3571,65,54.84
"59","Age of Empires II","Strategy",2021,9,126634.74,96,17,71,3090202,44062,57427,123,3838,4297,61,70.13
"60","Age of Empires II","Strategy",2021,10,39971.11,132,25,89,2094576,41177,29444,112,3367,2819,55,50.87
"61","Age of Empires II","Strategy",2021,11,5438.18,58,13,129,1363978,30440,17552,91,2600,1897,42,44.81
"62","Age of Empires II","Strategy",2021,12,79851.55,98,15,127,1325375,29864,32811,84,2261,1783,40,44.38
"63","Age of Empires IV","Strategy",2021,9,73,1,1,92,2131377,16431,72327,365,3280,2964,22,129.72
"64","Age of Empires IV","Strategy",2021,10,200,4,2,56,4090805,39630,106880,1151,6617,5505,53,103.22
"65","Age of Empires IV","Strategy",2021,11,33787,69,26,23,14531594,143576,125471,589,13835,20210,199,101.21
"66","Age of Empires IV","Strategy",2021,12,50329.25,158,32,51,4886529,60014,47531,196,5191,6576,80,81.42
"67","Aim Gods","First-Person Shooter",2020,12,250000,2,1,66,2919980,18495,108965,576,3704,3929,24,157.88
"68","Among Us","Strategy",2020,10,36000,8,3,3,109716919,2160986,753943,9142,386445,147667,2908,50.77
"69","Among Us","Strategy",2020,11,30000,6,3,4,76950746,1328891,776257,5274,250289,107024,1848,57.91
"70","Among Us","Strategy",2021,3,10000,4,1,21,17254354,304483,697975,3026,70224,23222,409,56.67
"71","Among Us","Strategy",2021,4,10000,4,1,20,19448312,348499,374767,4332,87073,27049,484,55.81
"72","Apex Legends","Battle Royale",2019,2,212829,116,8,1,123090969,5580337,666868,18932,663781,183444,8316,22.06
"73","Apex Legends","Battle Royale",2019,3,315590.41,245,30,4,59660790,3786745,303666,10439,437017,80297,5096,15.76
"74","Apex Legends","Battle Royale",2019,4,705420.75,245,12,9,25099028,2009967,199116,5000,259932,34908,2795,12.49
"75","Apex Legends","Battle Royale",2019,5,17575.52,42,8,11,13976089,1373679,64389,3109,175115,18810,1848,10.17
"76","Apex Legends","Battle Royale",2019,6,65092.96,80,5,16,11628044,1172991,54216,3070,139885,16172,1631,9.91
"77","Apex Legends","Battle Royale",2019,7,90000,75,7,10,27486726,1659147,232821,6402,193078,36994,2233,16.57
"78","Apex Legends","Battle Royale",2019,8,354873,170,5,13,19524222,1410103,194143,4389,166956,26277,1897,13.85
"79","Apex Legends","Battle Royale",2019,9,1050001,150,3,16,14704724,1082112,88868,2931,124810,20451,1505,13.59
"80","Apex Legends","Battle Royale",2019,12,50000,48,2,16,12382828,1051367,47729,2148,114378,16665,1415,11.78
"81","Apex Legends","Battle Royale",2020,3,350000,177,9,12,22035686,1722658,118822,3895,183683,29657,2318,12.79
"82","Apex Legends","Battle Royale",2020,4,201000,232,17,18,16947885,1658572,74276,3877,135535,23571,2306,10.22
"83","Apex Legends","Battle Royale",2020,5,206000,248,22,12,30792219,2389850,222753,8000,178385,41443,3216,12.88
"84","Apex Legends","Battle Royale",2020,6,63519.05,108,14,13,28595590,1994754,100600,4710,154296,39771,2774,14.34
"85","Apex Legends","Battle Royale",2020,7,78120,166,28,11,24001436,2003431,181143,4158,156699,32303,2696,11.98
"86","Apex Legends","Battle Royale",2020,8,138620,164,24,13,25748385,2051473,173116,5970,166678,34654,2761,12.55
"87","Apex Legends","Battle Royale",2020,9,397120,275,19,13,24582890,1819601,78679,3868,144309,34190,2530,13.51
"88","Apex Legends","Battle Royale",2020,10,206230,225,39,15,26228385,2023614,85711,4417,161167,35300,2723,12.96
"89","Apex Legends","Battle Royale",2020,11,78800,114,23,12,43586635,2934376,266326,9790,241200,60621,4081,14.85
"90","Apex Legends","Battle Royale",2020,12,505240,213,13,15,35472272,2536048,149460,5828,208690,47741,3413,13.99
"91","Apex Legends","Battle Royale",2021,1,74150,141,13,14,36579530,2836621,154317,7377,232847,49232,3817,12.9
"92","Apex Legends","Battle Royale",2021,2,252266,247,27,9,51757131,4059568,208798,13184,303619,77134,6050,12.75
"93","Apex Legends","Battle Royale",2021,3,618990,381,22,9,61043473,4108227,207842,9184,317439,82158,5529,14.86
"94","Apex Legends","Battle Royale",2021,4,22260,96,11,9,51425055,3688671,171721,8110,297846,71523,5130,13.94
"95","Apex Legends","Battle Royale",2021,5,283746.05,218,15,9,68053310,4565820,363341,15570,339210,91592,6145,14.9
"96","Apex Legends","Battle Royale",2021,6,2611339.24,323,9,11,47734908,3411757,237569,8470,257377,66390,4745,13.99
"97","Apex Legends","Battle Royale",2021,7,23600,41,5,10,47318823,3370855,216112,7107,263707,63686,4536,14.04
"98","Apex Legends","Battle Royale",2021,8,14500,29,6,4,92864047,4709072,404843,13378,349077,124985,6337,19.72
"99","Apex Legends","Battle Royale",2021,9,6500,22,3,6,68691621,3511300,330106,9081,273660,95537,4883,19.56
"100","Apex Legends","Battle Royale",2021,10,7000,24,4,9,59167820,3259366,276142,6699,231430,79633,4386,18.15
"101","Apex Legends","Battle Royale",2021,11,61655.71,50,7,5,58698013,3486336,283675,11894,247467,81638,4848,16.84
"102","Apex Legends","Battle Royale",2021,12,375000,240,4,9,46483936,3100762,238755,7141,218911,62562,4173,14.99
"103","Arena of Valor","Multiplayer Online Battle Arena",2017,11,538592,70,5,160,225147,4603,7867,22,499,313,6,48.91
"104","Arena of Valor","Multiplayer Online Battle Arena",2017,12,178260,52,2,140,266511,7581,12193,29,877,358,10,35.16
"105","Arena of Valor","Multiplayer Online Battle Arena",2018,3,64651.51,10,1,95,592452,10893,8080,34,1005,797,14,54.39
"106","Arena of Valor","Multiplayer Online Battle Arena",2018,4,208916.13,54,2,97,573530,10828,7290,40,1164,797,15,52.97
"107","Arena of Valor","Multiplayer Online Battle Arena",2018,5,115084.3,20,1,104,578883,9551,15070,39,1315,779,12,60.61
"108","Arena of Valor","Multiplayer Online Battle Arena",2018,6,84000,26,2,147,383441,7915,5475,32,1206,533,11,48.44
"109","Arena of Valor","Multiplayer Online Battle Arena",2018,7,2329160,72,3,145,412666,8622,7130,30,1343,555,11,47.86
