"","PlayerId","NameFirst","NameLast","CurrentHandle","CountryCode","TotalUSDPrize","Game","Genre"
"1",60467,"Zhengzheng","Chen","Cat","cn",465685.85,"Arena of Valor","Multiplayer Online Battle Arena"
"2",60565,"Guixin","Guo","NuoYan","cn",416162.04,"Arena of Valor","Multiplayer Online Battle Arena"
"3",60485,"Tianlong","Wang","Alan","cn",399019.18,"Arena of Valor","Multiplayer Online Battle Arena"
"4",70610,"Siyuan","Luo","HuaHai","cn",399019.18,"Arena of Valor","Multiplayer Online Battle Arena"
"5",70611,"Cong","Zhang","Wuming","cn",399019.18,"Arena of Valor","Multiplayer Online Battle Arena"
"6",53977,"Xuân Bách","Trần","XB","vn",152734.63,"Arena of Valor","Multiplayer Online Battle Arena"
"7",53981,"Quang Hiệp","Trần","ProE","vn",143598.03,"Arena of Valor","Multiplayer Online Battle Arena"
"8",5812,"Sanpett","Marat","FirstOne","th",135749.99,"Arena of Valor","Multiplayer Online Battle Arena"
"9",60417,"Yunfei","Peng","Fly","cn",133558.02,"Arena of Valor","Multiplayer Online Battle Arena"
"10",60418,"Shengqqin","Xia","Hurt","cn",133558.02,"Arena of Valor","Multiplayer Online Battle Arena"
"11",3883,"Peter","Rasmussen","dupreeh","dk",1822989.41,"Counter-Strike: Global Offensive","First-Person Shooter"
"12",3679,"Andreas","Højsleth","Xyp9x","dk",1799288.57,"Counter-Strike: Global Offensive","First-Person Shooter"
"13",3885,"Nicolai","Reedtz","dev1ce","dk",1787489.88,"Counter-Strike: Global Offensive","First-Person Shooter"
"14",3672,"Lukas","Rossander","gla1ve","dk",1652350.75,"Counter-Strike: Global Offensive","First-Person Shooter"
"15",17800,"Emil","Reif","Magisk","dk",1416448.64,"Counter-Strike: Global Offensive","First-Person Shooter"
"16",16800,"Jakey","Yip","Stewie2k","us",1087340,"Counter-Strike: Global Offensive","First-Person Shooter"
"17",12183,"Epitácio","de Melo","TACO","br",1063858.27,"Counter-Strike: Global Offensive","First-Person Shooter"
"18",12169,"Fernando","Alvarenga","fer","br",1063038.92,"Counter-Strike: Global Offensive","First-Person Shooter"
"19",2455,"Gabriel","Toledo","FalleN","br",1059938.92,"Counter-Strike: Global Offensive","First-Person Shooter"
"20",12182,"Marcelo","David","coldzera","br",1021901.46,"Counter-Strike: Global Offensive","First-Person Shooter"
"21",3304,"Johan","Sundstein","N0tail","dk",6952596.58,"Dota 2","Multiplayer Online Battle Arena"
"22",3822,"Jesse","Vainikka","JerAx","fi",6470000.02,"Dota 2","Multiplayer Online Battle Arena"
"23",30451,"Anathan","Pham","ana","au",6000411.96,"Dota 2","Multiplayer Online Battle Arena"
"24",2811,"Sébastien","Debs","Ceb","fr",5554297.41,"Dota 2","Multiplayer Online Battle Arena"
"25",18897,"Topias","Taavitsainen","Topson","fi",5470902.57,"Dota 2","Multiplayer Online Battle Arena"
"26",3145,"Kuro","Takhasomi","KuroKy","de",5193382.81,"Dota 2","Multiplayer Online Battle Arena"
"27",14671,"Amer","Al-Barkawi","Miracle-","jo",4798043.68,"Dota 2","Multiplayer Online Battle Arena"
"28",12579,"Ivan","Ivanov","MinD_ContRoL","bg",4579118.16,"Dota 2","Multiplayer Online Battle Arena"
"29",25335,"Maroun","Merhej","GH","lb",4193412.69,"Dota 2","Multiplayer Online Battle Arena"
"30",12133,"Lasse","Urpalainen","Matumbaman","fi",3765369.04,"Dota 2","Multiplayer Online Battle Arena"
"31",56483,"Kyle","Giersdorf","Bugha","us",3141395.05,"Fortnite","Battle Royale"
"32",59528,"David","Wang","Aqua","at",1923774.23,"Fortnite","Battle Royale"
"33",25047,"Harrison","Chang","psalm","us",1873138.8,"Fortnite","Battle Royale"
"34",54656,"Emil","Bergquist Pedersen","Nyhrox","no",1536845.69,"Fortnite","Battle Royale"
"35",61948,"Shane","Cotton","EpikWhale","us",1349767.32,"Fortnite","Battle Royale"
"36",67334,"Jaden","Ashman","Wolfiez","gb",1331128.07,"Fortnite","Battle Royale"
"37",55139,"Dave","Jong","Rojo","nl",1213576.66,"Fortnite","Battle Royale"
"38",51948,"Nate","Kou","Kreo","hk",1200043.07,"Fortnite","Battle Royale"
"39",51578,"Williams","Aubin","Zayt","ca",1186189.75,"Fortnite","Battle Royale"
"40",51883,"Rocco","Morales","Saf","us",1126345.35,"Fortnite","Battle Royale"
"41",7517,"Thijs","Molendijk","Thijs","nl",491418.66,"Hearthstone","Collectible Card Game"
"42",11132,"Wei Lin","Chen","tom60229","tw",442877.87,"Hearthstone","Collectible Card Game"
"43",17887,"Pavel","Beltiukov","Pavel","ru",347798,"Hearthstone","Collectible Card Game"
"44",39487,"Casper","Notto","Hunterace","no",341931.16,"Hearthstone","Collectible Card Game"
"45",10605,"Jung Soo","Kim","Surrender","kr",316781.57,"Hearthstone","Collectible Card Game"
"46",28337,"Raphael","Peltzer","BunnyHoppor","de",312987.23,"Hearthstone","Collectible Card Game"
"47",30870,"Bin","Zhou","Jasonzhou","cn",296734.75,"Hearthstone","Collectible Card Game"
"48",30871,"-","-","XHope","cn",293345.18,"Hearthstone","Collectible Card Game"
"49",14151,"Jon","Westberg","Orange","se",291115.88,"Hearthstone","Collectible Card Game"
"50",29441,"Frank","Zhang","fr0zen","us",284382.26,"Hearthstone","Collectible Card Game"
