"","TeamId","TeamName","TotalUSDPrize","TotalTournaments","Game","Genre"
"1",430,"eStar Gaming",2613323.67,5,"Arena of Valor","Multiplayer Online Battle Arena"
"2",24680,"Hero JiuJ",1104361.96,5,"Arena of Valor","Multiplayer Online Battle Arena"
"3",340,"Qiao Gu Reapers",951865.26,5,"Arena of Valor","Multiplayer Online Battle Arena"
"4",24841,"Buriram United Esports",658817.54,7,"Arena of Valor","Multiplayer Online Battle Arena"
"5",343,"Royal Never Give Up",361620.46,4,"Arena of Valor","Multiplayer Online Battle Arena"
"6",505,"J Team",336308.02,3,"Arena of Valor","Multiplayer Online Battle Arena"
"7",311,"EDward Gaming",321077.65,5,"Arena of Valor","Multiplayer Online Battle Arena"
"8",24946,"Bazaar Gaming",300325.26,7,"Arena of Valor","Multiplayer Online Battle Arena"
"9",695,"Vietnamese National Team",268500,3,"Arena of Valor","Multiplayer Online Battle Arena"
"10",403,"ahq e-Sports Club",267634.02,9,"Arena of Valor","Multiplayer Online Battle Arena"
"11",466,"Astralis",8503918.81,95,"Counter-Strike: Global Offensive","First-Person Shooter"
"12",102,"Team Liquid",4675925.35,138,"Counter-Strike: Global Offensive","First-Person Shooter"
"13",118,"Fnatic",4653396.2,202,"Counter-Strike: Global Offensive","First-Person Shooter"
"14",163,"Natus Vincere",3852176.82,159,"Counter-Strike: Global Offensive","First-Person Shooter"
"15",185,"Virtus.pro",3708190.63,164,"Counter-Strike: Global Offensive","First-Person Shooter"
"16",240,"FaZe Clan",3693528.94,104,"Counter-Strike: Global Offensive","First-Person Shooter"
"17",111,"mousesports",3014009.9,169,"Counter-Strike: Global Offensive","First-Person Shooter"
"18",112,"SK Gaming",2869076.54,85,"Counter-Strike: Global Offensive","First-Person Shooter"
"19",162,"Ninjas in Pyjamas",2864971.31,185,"Counter-Strike: Global Offensive","First-Person Shooter"
"20",212,"Cloud9",2571291.19,182,"Counter-Strike: Global Offensive","First-Person Shooter"
"21",419,"OG",33810636.13,68,"Dota 2","Multiplayer Online Battle Arena"
"22",102,"Team Liquid",22967431.1,96,"Dota 2","Multiplayer Online Battle Arena"
"23",101,"Evil Geniuses",19988670.62,115,"Dota 2","Multiplayer Online Battle Arena"
"24",210,"Newbee",13523736.43,98,"Dota 2","Multiplayer Online Battle Arena"
"25",211,"Team Secret",11492345.09,79,"Dota 2","Multiplayer Online Battle Arena"
"26",169,"Vici Gaming",11182792.92,121,"Dota 2","Multiplayer Online Battle Arena"
"27",227,"LGD Gaming",10072755.42,79,"Dota 2","Multiplayer Online Battle Arena"
"28",185,"Virtus.pro",10037385.11,125,"Dota 2","Multiplayer Online Battle Arena"
"29",507,"Wings Gaming",9739247.35,24,"Dota 2","Multiplayer Online Battle Arena"
"30",623,"Paris Saint-Germain Esports",9066946.69,27,"Dota 2","Multiplayer Online Battle Arena"
"31",571,"Lazarus",3708150,24,"Fortnite","Battle Royale"
